County,"Donald Trump
Republican",,"Kamala Harris
Democratic",,"Various candidates
Other parties",,Margin,,Total
,#,%,#,%,#,%,#,%,
Adams,"7,763",60.26%,"4,443",34.49%,676,5.25%,"3,320",25.77%,"12,882"
Ashland,"4,191",46.80%,"4,612",51.50%,152,1.70%,-421,-4.70%,"8,955"
Barron,"16,726",62.39%,"8,941",33.35%,"1,142",4.26%,"7,785",29.04%,"26,809"
Bayfield,"4,860",43.24%,"6,107",54.33%,273,2.43%,"-1,247",-11.09%,"11,240"
Brown,"79,132",52.99%,"67,937",45.49%,"2,264",1.52%,"11,195",7.50%,"149,333"
Buffalo,"5,213",64.36%,"2,765",34.14%,122,1.51%,"2,448",30.22%,"8,100"
Burnett,"7,008",64.83%,"3,665",33.90%,137,1.27%,"3,343",30.93%,"10,810"
Calumet,"19,488",59.21%,"12,927",39.27%,501,1.52%,"6,561",19.94%,"32,916"
Chippewa,"23,399",60.82%,"14,573",37.88%,499,1.30%,"8,826",22.94%,"38,471"
Clark,"10,481",68.32%,"4,509",29.39%,350,2.28%,"5,972",38.93%,"15,340"
Columbia,"17,988",51.52%,"16,388",46.94%,538,1.54%,"1,600",4.58%,"34,914"
Crawford,"5,113",56.16%,"3,860",42.39%,132,1.45%,"1,253",13.77%,"9,105"
Dane,"85,454",23.35%,"273,995",74.88%,"6,480",1.77%,"-188,541",-51.53%,"365,929"
Dodge,"33,067",65.74%,"16,518",32.84%,715,1.42%,"16,549",32.90%,"50,300"
Door,"10,099",48.22%,"10,565",50.44%,280,1.34%,-466,-2.22%,"20,944"
Douglas,"11,732",46.49%,"13,073",51.81%,429,1.70%,"-1,341",-5.32%,"25,234"
Dunn,"14,726",57.35%,"10,643",41.45%,309,1.20%,"4,083",15.90%,"25,678"
Eau Claire,"27,728",43.89%,"34,400",54.45%,"1,049",1.66%,"-6,672",-10.56%,"63,177"
Florence,"2,356",74.60%,783,24.79%,19,0.60%,"1,573",49.81%,"3,158"
Fond du Lac,"37,272",63.68%,"20,495",35.02%,760,1.30%,"16,777",28.66%,"58,527"
Forest,"3,382",66.35%,"1,681",32.98%,34,0.67%,"1,701",33.37%,"5,097"
Grant,"15,922",58.31%,"10,966",40.16%,418,1.53%,"4,956",18.15%,"27,306"
Green,"10,843",49.12%,"10,903",49.39%,330,1.49%,-60,-0.27%,"22,076"
Green Lake,"7,458",67.48%,"3,449",31.21%,145,1.31%,"4,009",36.27%,"11,052"
Iowa,"6,631",45.18%,"7,750",52.80%,296,2.02%,"-1,119",-7.62%,"14,677"
Iron,"2,557",62.61%,"1,487",36.41%,40,0.98%,"1,070",26.20%,"4,084"
Jackson,"6,204",59.07%,"4,157",39.58%,141,1.34%,"2,047",19.49%,"10,502"
Jefferson,"28,771",57.37%,"20,574",41.03%,801,1.60%,"8,197",16.34%,"50,146"
Juneau,"9,525",65.45%,"4,854",33.35%,174,1.20%,"4,671",32.10%,"14,553"
Kenosha,"47,478",52.36%,"41,826",46.12%,"1,376",1.52%,"5,652",6.24%,"90,680"
Kewaunee,"8,267",66.22%,"4,059",32.51%,158,1.27%,"4,208",33.71%,"12,484"
