County,Susan Crawford,,Brad Schimel,,Scattering votes,,Margin,,Total votes cast
,#,%,#,%,#,%,#,%,
Adams,"3,600",41.02%,"5,171",58.92%,6,0.07%,"−1,571",−17.90%,"8,777"
Ashland,"3,869",57.82%,"2,816",42.08%,7,0.10%,"1,053",15.74%,"6,692"
Barron,"7,037",39.62%,"10,719",60.35%,6,0.03%,"−3,682",−20.73%,"17,762"
Bayfield,"5,228",60.49%,"3,413",39.49%,2,0.02%,"1,815",21.00%,"8,643"
Brown,"51,403",51.57%,"48,228",48.38%,54,0.05%,"3,175",3.19%,"99,685"
Buffalo,"2,310",41.36%,"3,227",57.78%,48,0.86%,−917,−16.42%,"5,585"
Burnett,"2,728",37.44%,"4,559",62.56%,0,0.00%,"−1,831",−25.12%,"7,287"
Calumet,"9,743",44.20%,"12,288",55.75%,12,0.05%,"−2,545",−11.55%,"22,043"
Chippewa,"11,580",45.17%,"14,036",54.76%,18,0.07%,"−2,456",−9.59%,"25,634"
Clark,"3,815",36.47%,"6,639",63.46%,8,0.07%,"−2,824",−26.99%,"10,462"
Columbia,"13,248",54.40%,"11,091",45.54%,16,0.06%,"2,157",8.86%,"24,355"
Crawford,"3,354",51.21%,"3,191",48.72%,4,0.07%,163,2.49%,"6,549"
Dane,"234,129",81.66%,"52,372",18.27%,202,0.07%,"181,757",63.39%,"286,703"
Dodge,"12,796",37.58%,"21,251",62.42%,0,0.00%,"−8,455",−24.84%,"34,047"
Door,"8,592",56.10%,"6,716",43.85%,7,0.05%,"1,876",12.25%,"15,315"
Douglas,"9,501",59.10%,"6,565",40.83%,11,0.07%,"2,936",18.27%,"16,077"
Dunn,"8,545",49.88%,"8,586",50.12%,0,0.00%,−41,−0.24%,"17,131"
Eau Claire,"27,618",62.79%,"16,334",37.13%,36,0.08%,"11,284",25.66%,"43,988"
Florence,557,27.45%,"1,472",72.55%,0,0.00%,−915,−45.10%,"2,029"
Fond du Lac,"15,634",39.60%,"23,842",60.40%,1,0.00%,"−8,208",−20.80%,"39,477"
Forest,"1,196",35.63%,"2,159",64.31%,2,0.06%,−963,−28.68%,"3,357"
Grant,"8,722",49.76%,"8,796",50.18%,10,0.06%,−74,−0.42%,"17,528"
Green,"9,343",58.35%,"6,662",41.60%,8,0.05%,"2,681",16.75%,"16,013"
Green Lake,"2,626",35.75%,"4,718",64.23%,2,0.02%,"−2,092",−28.48%,"7,346"
Iowa,"6,671",61.76%,"4,123",38.17%,7,0.07%,"2,548",23.59%,"10,801"
Iron,"1,174",42.75%,"1,572",57.25%,0,0.00%,−398,−15.00%,"2,746"
Jackson,"3,499",48.72%,"3,683",51.28%,0,0.00%,−184,−2.56%,"7,182"
Jefferson,"16,230",46.92%,"18,334",53.00%,27,0.08%,"−2,104",−6.08%,"34,591"
Juneau,"3,850",40.80%,"5,579",59.12%,7,0.08%,"−1,729",−18.32%,"9,436"
Kenosha,"30,434",52.68%,"27,277",47.22%,55,0.10%,"3,157",5.46%,"57,766"
Kewaunee,"3,191",37.33%,"5,353",62.62%,5,0.05%,"−2,162",−25.29%,"8,549"
La Crosse,"30,540",62.98%,"17,954",37.02%,0,0.00%,"12,586",25.96%,"48,494"
Lafayette,"2,900",48.62%,"3,065",51.38%,0,0.00%,−165,−2.76%,"5,965"
Langlade,"2,859",37.21%,"4,825",62.79%,0,0.00%,"−1,966",−25.58%,"7,684"
Lincoln,"4,617",42.02%,"6,363",57.91%,8,0.07%,"−1,746",−15.89%,"10,988"
Manitowoc,"13,919",42.78%,"18,596",57.15%,22,0.07%,"−4,677",−14.37%,"32,537"
