county,source_dem_votes,source_rep_votes,actual_target_dem_votes,actual_target_rep_votes,predicted_target_dem_votes,predicted_target_rep_votes,counterfactual_full_return_dem_votes,counterfactual_full_return_rep_votes,dem_percent_error_0_to_100_scale,rep_percent_error_0_to_100_scale
Adams,4443,7763,4806,7551,4494.222940,7530.334496,4527.786017,7678.213983,-6.487246,-0.273679
Ashland,4612,4191,4775,3844,4621.654319,4067.510033,4655.639161,4147.360839,-3.211428,5.814517
Barron,8941,16726,9352,16462,9056.501736,16224.098880,9124.287391,16542.712609,-3.159733,-1.445153
Bayfield,6107,4860,6260,4697,6112.024791,4717.523995,6156.873544,4810.126456,-2.363821,0.436960
Brown,67937,79132,67789,76722,68274.969079,76782.008527,68779.427917,78289.572083,0.716885,0.078216
Buffalo,2765,5213,2913,4898,2801.174502,5056.551529,2822.146135,5155.853865,-3.838843,3.237067
Burnett,3665,7008,3730,6745,3714.054015,6797.631544,3741.873561,6931.126439,-0.427506,0.780305
Calumet,12927,19488,12850,19075,13041.166794,18905.621255,13138.134291,19276.865709,1.487679,-0.887962
Chippewa,14573,23399,14875,22189,14717.790250,22698.837271,14827.420676,23144.579324,-1.056872,2.297703
Clark,4509,10481,4819,9917,4590.270792,10165.447120,4624.907780,10365.092220,-4.746404,2.505265
Columbia,16388,17988,16753,17120,16457.142626,17454.712895,16578.586675,17797.413325,-1.765996,1.955099
Crawford,3860,5113,4026,4761,3886.144571,4960.651661,3914.942959,5058.057041,-3.473806,4.193482
Dane,273995,85454,273696,84762,272728.419770,83108.325276,274711.281194,84737.718806,-0.353524,-1.950962
Dodge,16518,33067,16819,31928,16755.763431,32073.641817,16881.472606,32703.527394,-0.375983,0.456157
Door,10565,10099,10503,9942,10592.724183,9800.902727,10670.685587,9993.314413,0.854272,-1.419204
Douglas,13073,11732,13119,11105,13098.704326,11386.466139,13195.003830,11609.996170,-0.154704,2.534589
Dunn,10643,14726,10795,13983,10722.155665,14286.766128,10801.698991,14567.301009,-0.674797,2.172396
Eau Claire,34400,27728,34382,26584,34432.267232,26914.700884,34684.972746,27443.027254,0.146202,1.243985
Florence,783,2356,788,2272,803.143680,2284.846870,809.276960,2329.723040,1.921787,0.565443
Fond du Lac,20495,37272,20777,35909,20747.739182,36154.116704,20902.884672,36864.115328,-0.140833,0.682605
Forest,1681,3382,1853,3200,1705.386206,3280.394056,1718.183072,3344.816928,-7.966206,2.512314
Grant,10966,15922,11300,14995,11055.987102,15446.574647,11138.110045,15749.889955,-2.159406,3.011501
Green,10903,10843,11188,10280,10936.347462,10522.520179,11016.896085,10729.103915,-2.249308,2.359146
Green Lake,3449,7458,3592,7138,3504.874223,7233.691233,3531.244976,7375.755024,-2.425551,1.340589
Iowa,7750,6631,7946,6323,7761.592076,6436.047732,7818.609194,6562.390806,-2.320764,1.787881
Iron,1487,2557,1513,2445,1503.680441,2480.386491,1514.904362,2529.095638,-0.615966,1.447300
Jackson,4157,6204,4314,5764,4193.005920,6018.639782,4224.174349,6136.825651,-2.804684,4.417762
Jefferson,20574,28771,20631,28005,20730.438378,27912.634082,20884.270939,28460.729061,0.481985,-0.329819
