county,source_dem_votes,source_rep_votes,actual_target_dem_votes,actual_target_rep_votes,predicted_target_dem_votes,predicted_target_rep_votes,counterfactual_full_return_dem_votes,counterfactual_full_return_rep_votes,dem_percent_error_0_to_100_scale,rep_percent_error_0_to_100_scale
Adams,4443,7763,2635,2792,2467.944551,2652.827750,4980.751189,7225.248811,-6.339865,-4.984679
Ashland,4612,4191,2732,1593,2454.909745,1444.517931,4878.249238,3924.750762,-10.142396,-9.320908
Barron,8941,16726,4783,5128,4996.956589,5712.205796,10106.497118,15560.502882,4.473272,11.392469
Bayfield,6107,4860,4232,1917,3231.617792,1679.333405,6407.499669,4559.500331,-23.638521,-12.397840
Brown,67937,79132,35598,26885,36642.930347,27167.810733,73172.313871,73896.686129,2.935363,1.051928
Buffalo,2765,5213,1496,1575,1546.425841,1780.205095,3128.486365,4849.513635,3.370711,13.028895
Burnett,3665,7008,2109,2299,2052.497462,2392.895422,4154.212387,6518.787613,-2.679115,4.084185
Calumet,12927,19488,6779,7258,7094.876200,6669.465271,14257.671941,18157.328059,4.659628,-8.108773
Chippewa,14573,23399,7658,6869,8037.789666,8002.657556,16181.031978,21790.968022,4.959385,16.503968
Clark,4509,10481,2688,3465,2576.555131,3573.337615,5251.226159,9738.773841,-4.146014,3.126627
Columbia,16388,17988,9688,6657,8808.712790,6180.955763,17567.799793,16808.200207,-9.076045,-7.151033
Crawford,3860,5113,2587,1695,2099.008713,1752.456083,4204.031112,4768.968888,-18.863212,3.389739
Dane,273995,85454,166414,32012,141323.412889,30456.811558,277467.132678,81981.867322,-15.077209,-4.858142
Dodge,16518,33067,9453,12545,9291.494964,11286.470779,18834.759737,30750.240263,-1.708506,-10.032118
Door,10565,10099,7077,4643,5637.395271,3477.778925,11212.541008,9451.458992,-20.342020,-25.096297
Douglas,13073,11732,6420,3597,6954.512222,4044.590959,13816.553339,10988.446661,8.325736,12.443452
Dunn,10643,14726,5966,4390,5804.865087,5044.621664,11639.003473,13729.996527,-2.700887,14.911655
Eau Claire,34400,27728,18891,8886,18213.052622,9578.717163,36119.267767,26008.732233,-3.588732,7.795602
Florence,783,2356,464,729,462.241672,801.956968,952.350267,2186.649733,-0.378950,10.007814
Fond du Lac,20495,37272,11734,13543,11424.741005,12732.188093,23085.970200,34681.029800,-2.635580,-5.986945
Forest,1681,3382,1183,1387,946.040385,1154.301658,1918.043179,3144.956821,-20.030399,-16.777097
Grant,10966,15922,5975,4021,6001.742618,5451.311916,12048.782293,14839.217707,0.447575,35.571050
