county,source_dem_votes,source_rep_votes,actual_target_dem_votes,actual_target_rep_votes,predicted_target_dem_votes,predicted_target_rep_votes,counterfactual_full_return_dem_votes,counterfactual_full_return_rep_votes,dem_percent_error_0_to_100_scale,rep_percent_error_0_to_100_scale
Adams,4443,7763,2635,2792,2561.223335,2745.043454,5184.365699,7021.634301,-2.799873,-1.681825
Ashland,4612,4191,2732,1593,2513.825766,1482.551490,5011.088679,3791.911321,-7.985880,-6.933365
Barron,8941,16726,4783,5128,5195.490365,5914.246076,10538.659934,15128.340066,8.624093,15.332412
Bayfield,6107,4860,4232,1917,3302.872252,1719.409707,6569.399592,4397.600408,-21.954814,-10.307266
Brown,67937,79132,35598,26885,37681.329532,27987.574437,75482.316716,71586.683284,5.852378,4.101077
Buffalo,2765,5213,1496,1575,1608.219263,1843.289998,3262.954656,4715.045344,7.501288,17.034286
Burnett,3665,7008,2109,2299,2135.366956,2477.978917,4334.443209,6338.556791,1.250211,7.785077
Calumet,12927,19488,6779,7258,7335.897200,6891.545609,14787.179455,17627.820545,8.215035,-5.048972
Chippewa,14573,23399,7658,6869,8323.514138,8274.341152,16806.987709,21165.012291,8.690443,20.459181
Clark,4509,10481,2688,3465,2696.733551,3705.748391,5510.709303,9479.290697,0.324909,6.948006
Columbia,16388,17988,9688,6657,9048.410931,6362.285480,18102.682615,16273.317385,-6.601869,-4.427137
Crawford,3860,5113,2587,1695,2164.055539,1808.235864,4347.805276,4625.194724,-16.348839,6.680582
Dane,273995,85454,166414,32012,143220.487547,30276.915915,282038.758237,77410.241763,-13.937236,-5.420105
Dodge,16518,33067,9453,12545,9679.514615,11692.049653,19677.147334,29907.852666,2.396219,-6.799126
Door,10565,10099,7077,4643,5777.243833,3572.339801,11526.964290,9137.035710,-18.365920,-23.059664
Douglas,13073,11732,6420,3597,7120.065935,4150.196899,14190.097149,10614.902851,10.904454,15.379397
Dunn,10643,14726,5966,4390,5990.373538,5207.791202,12048.179312,13320.820688,0.408541,18.628501
Eau Claire,34400,27728,18891,8886,18617.873087,9809.716103,37038.381641,25089.618359,-1.445804,10.395185
Florence,783,2356,464,729,488.364838,832.945373,1008.291882,2130.708118,5.251043,14.258625
Fond du Lac,20495,37272,11734,13543,11869.358759,13179.380601,24054.907506,33712.092494,1.153560,-2.684925
Forest,1681,3382,1183,1387,985.693412,1195.827802,2004.113105,3058.886895,-16.678494,-13.783143
Grant,10966,15922,5975,4021,6200.224257,5630.607837,12485.585244,14402.414756,3.769444,40.030038
Green,10903,10843,7700,4710,5977.833819,3835.399316,11936.061894,9809.938106,-22.365795,-18.569017
Green Lake,3449,7458,2037,2635,2041.835183,2636.975669,4161.664502,6745.335498,0.237368,0.074978
Iowa,7750,6631,4967,2442,4208.818645,2345.813357,8381.202495,5999.797505,-15.264372,-3.938847
Iron,1487,2557,775,721,855.658922,904.176831,1731.180985,2312.819015,10.407603,25.405941
Jackson,4157,6204,2566,2261,2356.687425,2193.932936,4749.165983,5611.834017,-8.157154,-2.966257
Jefferson,20574,28771,11761,10853,11591.389974,10174.691003,23319.490825,26025.509175,-1.442139,-6.249968
Juneau,4854,9525,2737,2961,2837.240180,3367.938336,5763.947308,8615.052692,3.662411,13.743274
Kenosha,41826,47478,19129,13506,23152.389572,16792.403464,46352.521685,42951.478315,21.032932,24.332915
Kewaunee,4059,8267,2403,3214,2383.860197,2923.082025,4848.847457,7477.152543,-0.796496,-9.051586
La Crosse,39008,32247,20127,9011,21141.937470,11408.199370,42076.894021,29178.105979,5.042666,26.603034
Lafayette,3469,5256,2405,1951,1969.596657,1858.675758,3970.707734,4754.292266,-18.104089,-4.732150
Langlade,3746,7782,2103,2841,2205.744911,2751.573690,4489.548432,7038.451568,4.885635,-3.147705
Lincoln,6306,10633,3379,3582,3620.751662,3759.951326,7321.335745,9617.664255,7.154533,4.967932
Manitowoc,17399,28200,9096,9264,9947.478076,9972.024416,20091.442012,25507.557988,9.361017,7.642751
Marathon,31529,46213,16679,15977,17842.912924,16342.545665,35939.694176,41802.305824,6.978314,2.287949
Marinette,7415,16670,4442,5571,4413.557118,5894.046783,9008.089090,15076.910910,-0.640317,5.798722
Marquette,3252,6041,2118,2527,1888.098732,2136.079261,3829.021750,5463.978250,-10.854640,-15.469756
Menominee,1266,296,483,188,658.052072,104.959047,1293.697525,268.302475,36.242665,-44.170720
Milwaukee,316292,138022,146402,46710,166804.180899,48868.524410,329349.644805,124964.355195,13.935726,4.621118
Monroe,8476,14563,4479,4439,4876.861335,5149.601864,9866.691570,13172.308430,8.882816,16.008152
Oconto,6967,17675,4432,6166,4222.249024,6249.148678,8656.598749,15985.401251,-4.732648,1.348503
Oneida,10080,14455,5684,4776,5692.513773,5111.855482,11459.511028,13075.488972,0.149785,7.032150
Outagamie,49438,60827,26636,19285,27542.257341,21512.682631,55239.364393,55025.635607,3.402378,11.551375
Ozaukee,27874,34504,16508,15154,15536.616050,12202.983172,31164.901144,31213.098856,-5.884322,-19.473517
Pepin,1523,2798,876,940,883.080931,989.368768,1790.249485,2530.750515,0.808325,5.251997
Pierce,10171,14417,5976,4526,5737.594765,5098.448442,11546.823380,13041.176620,-3.989378,12.647999
Polk,9567,18296,5196,5383,5574.189380,6469.335017,11314.736557,16548.263443,7.278472,20.180847
Portage,21503,20987,12581,6836,11774.648936,7423.653847,23502.318869,18987.681131,-6.409276,8.596458
Price,3005,5763,1760,1960,1751.463229,2037.753413,3555.518500,5212.481500,-0.485044,3.967011
Racine,49721,56347,23146,20437,27519.115278,19929.284954,55093.043830,50974.956170,18.893611,-2.484293
Richland,3985,5207,2454,1677,2231.454706,1841.493767,4481.745228,4710.254772,-9.068675,9.808811
Rock,46642,40218,23269,11557,25341.655822,14227.609943,50470.525673,36389.474327,8.907370,23.108159
Rusk,2516,5660,1446,1917,1497.711063,2001.217610,3056.905722,5119.094278,3.576145,4.393198
Sauk,18172,18798,11629,7420,9990.426007,6649.057547,19963.350655,17006.649345,-14.090412,-10.390060
Sawyer,4599,6422,2544,2245,2590.727497,2271.103423,5211.819937,5809.180063,1.836773,1.162736
Shawano,7336,15850,3653,4899,4342.478648,5604.193669,8850.576135,14335.423865,18.874313,14.394645
Sheboygan,27735,38763,14474,14238,15625.070972,13708.305864,31433.975524,35064.024476,7.952680,-3.720285
St. Croix,23870,35537,12209,10280,13529.123521,12567.035959,27261.942962,32145.057038,10.812708,22.247432
Taylor,2823,8209,1770,2819,1750.051594,2902.252958,3607.934160,7424.065840,-1.127029,2.953280
Trempealeau,6219,9661,3677,2941,3539.892924,3416.371109,7141.265714,8738.734286,-3.728776,16.163588
Vernon,7514,8807,4484,2953,4169.700435,3114.866018,8353.780887,7967.219113,-7.009357,5.481409
Vilas,6119,9837,3311,3277,3495.380378,3478.552377,7058.178115,8897.821885,5.568722,6.150515
Walworth,23161,36603,13073,13303,13206.720134,12943.629114,26655.432048,33108.567952,1.022873,-2.701427
Washburn,3867,6962,2438,2407,2236.873019,2461.773771,4531.931438,6297.068562,-8.249671,2.275603
Washington,28504,61604,15495,25104,16873.391426,21781.748261,34390.688979,55717.311021,8.895717,-13.233954
Waukesha,108478,162768,61654,72400,61531.065082,57559.818011,124014.357278,147231.642722,-0.199395,-20.497489
Waupaca,9947,20093,6148,7063,5835.674864,7104.592536,11866.687208,18173.312792,-5.080110,0.588879
Waushara,4571,9625,2715,3595,2696.362612,3403.208443,5490.674286,8705.325714,-0.686460,-5.334953
Winnebago,44660,49179,23567,15934,24664.354821,17394.382127,49347.999198,44491.000802,4.656320,9.165195
Wood,16599,24997,10002,9302,9418.707727,8839.699167,18985.018387,22610.981613,-5.831756,-4.969908
