county,election_date,race,dem_candidate,rep_candidate,dem_votes,rep_votes,other_votes,total_votes,source_csv
Adams,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,2635,2792,13,5440,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Ashland,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,2732,1593,2,4327,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Barron,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,4783,5128,7,9918,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Bayfield,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,4232,1917,4,6153,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Brown,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,35598,26885,52,62535,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Buffalo,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,1496,1575,6,3077,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Burnett,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,2109,2299,0,4408,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Calumet,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,6779,7258,16,14053,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Chippewa,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,7658,6869,14,14541,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Clark,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,2688,3465,0,6153,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Columbia,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,9688,6657,20,16365,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Crawford,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,2587,1695,7,4289,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Dane,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,166414,32012,129,198555,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Dodge,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,9453,12545,21,22019,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Door,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,7077,4643,7,11727,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Douglas,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,6420,3597,10,10027,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Dunn,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,5966,4390,14,10370,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Eau Claire,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,18891,8886,33,27810,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Florence,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,464,729,0,1193,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Fond du Lac,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,11734,13543,44,25321,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
Forest,2026-04-07,2026 Wisconsin Supreme Court,Chris Taylor,Maria Lazar,1183,1387,4,2574,https://interactives.apelections.org/election-results/data-live/2026-04-07/results/races/WI/20260407WI50888/detail.json
